department;name;location;type;emission_intensity
1;La Reyssouze;Bourg-en-Bresse;hot;0.141
1;La Forge;Oyonnax;hot;0.268
1;La Plaine (HLM);Oyonnax;hot;0.334
1;Réseau de Saint-Denis-les-Bourg;Saint-Denis-les-Bourg;hot;0.055
1;Belena;Marignieu;hot;0.008
1;Réseau de Treffort;Val-Revermont;hot;0.051
2;ZUP du Quartier Europe;Saint-Quentin;hot;0.135
2;ZUP de Presles;Soissons;hot;0.077
2;Réseau de Laon;Laon;hot;0.004
2;Réseau d'Urcel;Urcel;hot;0.04
3;Réseau de Moulins;Moulins;hot;0.028
3;Fontbouillant;Montluçon;hot;0.124
3;Réseau de Mayet-de-Montagne;Mayet-de-Montagne;hot;0.011
3;Meaulne;Meaulne;hot;0.268
4;RCU Manosque ZAC Chanteprunier;Manosque;hot;0.036
5;Réseau bois Delaroche;Embrun;hot;0
5;Réseau Quartier Gare;Embrun;hot;0.005
6;Sonitherm-Réseau de l'Ariane;Nice;hot;0.003
6;Saint Augustin (HLM);Nice;hot;0.197
6;Ranguin;Cannes;hot;0.135
7;Réseau d'Aubenas;Aubenas;hot;0.011
7;Réseau de Cheylard;Cheylard;hot;0.02
8;La Citadelle;Charleville-Mézières;hot;0.227
8;Ronde couture;Charleville-Mézières;hot;0.052
8;ZUP de Sedan;Sedan;hot;0.101
8;Réseau bois de Machault;Machault;hot;0.05
8;Réseau de Rocroi;Rocroi;hot;0.315
10;ZUP de la Chapelle Saint-Luc;Les Noes;hot;0.246
10;Les Chartreux;Troyes;hot;0.071
10;Biomasse de Piney;Piney;hot;0.058
11;ZAC Saint Jean et Saint Pierre;Narbonne;hot;0.112
11;Réseau CEF-MCO;Carcassone;hot;0.101
12;Réseau de Decazeville;Decazeville;hot;0.292
12;Réseau Sarrus;Rodez;hot;0.012
12;Réseau de Cantagrelh;Onet-le-Château;hot;0.127
13;ZAC des Canourgues;Salon de Provence;hot;0.207
13;Luminy;Marseille;hot;0.298
13;ZAC Paradis-Saint-Roch;Martigues;hot;0.234
13;ZAC Canto Perdrix;Martigues;hot;0.22
13;Centre Urbain-Zac des Pins;Vitrolles;hot;0.218
13;Réseau d'Aix-en-Provence;Aix-en-Provence;hot;0.075
14;Hérouville St Clair;Hérouville-Saint-Clair;hot;0.013
14;ZUP de Hauteville;Lisieux;hot;0.022
14;ZAC de Falaise;Falaise;hot;0.008
14;La Guérinière;Caen;hot;0.184
14;Grâce de Dieu;Caen;hot;0.19
14;Quartier Nord;Caen;hot;0.253
14;Réseau Bois I;Bayeux;hot;0.074
14;Réseau Bois Vallée des Près;Bayeux;hot;0.06
15;Réseau de chaleur bois du Crozatier;Saint-Georges;hot;0.003
15;Réseau de chaleur bois du Volzac;Saint-Flour;hot;0.016
15;Réseau de Baignes Sainte-Radegonde;Baignes Sainte-Radegonde;hot;0.192
16;Réseau Champ de manoeuvre;Soyaux;hot;0.2
16;Réseau de Montemboeuf;Montemboeuf;hot;0
17;Villeneuve les Salines;La Rochelle;hot;0.076
17;Réseau de Jonzac;Jonzac;hot;0.058
17;Réseau de Aytre;Aytre;hot;0
17;ZUP de Mireuil;La Rochelle;hot;0.016
17;Réseau de Pons;Pons;hot;0.089
17;Réseau Gémozac;Gémozac;hot;0.018
18;Chancellerie Gibjoncs-Zup de Bourges;Asnières-les-Bourges;hot;0.012
18;ZUP du Clos du Roy;Vierzon;hot;0.325
19;Centre valorisation énergétique Brive;Saint-Pantaléon-de-Larche;hot;0.002
19;Egletons Bois Energie;Egletons;hot;0.06
19;Réseau de Sornac;Sornac;hot;0.011
20;Réseau de Corte;Corte;hot;0.019
21;La Fontaine d'Ouche;Dijon;hot;0.206
21;Dijon Énergies;Djon;hot;0.028
21;ZUP de Chenove;Chenove;hot;0.331
21;Réseau de Quetigny;Quetigny;hot;0.143
21;Les Gresilles;Dijon;hot;0.077
23;Réseau de Bourganeuf;Bourganeuf;hot;0.017
23;Réseau de Felletin;Felletin;hot;0.222
24;Réseau de Saint-Astier;Saint-Astier;hot;0.023
24;L'Arche au Bois;Périgueux;hot;0.003
24;Réseau de Douville;Douville;hot;0.049
25;Besançon-Planoise;Besançon;hot;0.142
25;ZUP de la Petite Hollande;Montbéliard;hot;0.045
25;Champvalon;Béthoncourt;hot;0.212
25;Chaufferie Bois du Russey;Le Russey;hot;0.05
25;Champs Montants;Audincourt;hot;0.178
25;Domaine Universitaire de la Bouloie;Besançon;hot;0.054
25;Réseau de Mouthe;Mouthe;hot;0.053
25;Réseau de Pontarlier;Pontarlier;hot;0.011
26;Réseau de la Zup de Valence;Valence;hot;0.284
26;Réseau de Vassieux-en-Vercors;Vassieux-en-Vercors;hot;0.019
26;Réseau de Pierrelatte-Des;Pierrelatte;hot;0
26;Réseau Pracomptal;Montélimar;hot;0.249
27;ZUP de Saint André-Thermevra;Evreux;hot;0.01
27;ZAC des Maisons Rouges;Louvriers;hot;0.166
27;Quartier de l'Europe;Pont Audemer;hot;0.232
27;Tours du Levant Clos Galots;Les Andelys;hot;0.202
27;ZUP Les Valmeux;Vernon;hot;0.202
28;ZUP de la Madeleine;Chartres;hot;0.276
28;Les Gauchetières;Nogent Rotrou;hot;0.236
28;DUNE;Chateaudun;hot;0.01
28;Tallemont;Manvilliers;hot;0.211
29;Réseau de Brest;Brest;hot;0.023
29;Réseau de Plougastel-Daoulas;Plougastel-Daoulas;hot;0.009
30;Quartier Ouest;Nîmes;hot;0.24
30;Centre Ville Ales;Ales;hot;0.074
31;Réseau de Toulouse (UIOM);Toulouse;hot;0
31;Canceropôle;Toulouse;hot;0.124
31;Canceropôle;Toulouse;cold;0.011
31;Réseau Saint-Exupéry;Toulouse;hot;0.361
31;CSU Rangueil;Toulouse;hot;0.374
31;Ensemble Universitaire de Toulouse Rangueil;Toulouse;hot;0.205
31;Eco-quartier Balma Vidailhan;Balma;hot;0.044
31;ZAC du Ritouret;Blagnac;hot;0.087
31;Réseau En Turet;Ayguevives;hot;0.011
33;Grand Parc;Bordeaux;hot;0.195
33;Mériadeck;Bordeaux;hot;0
33;Laseris;Le Barp;cold;0.011
33;Réseau de Pellegrue;Pellegrue;hot;0.021
33;Parc de Mérignac Ville Stemer;Mérignac;hot;0.209
33;Hauts de Garonne-Rive Droite Energies;Cenon Lormont Floirac;hot;0.046
33;Réseau de chaleur de Gironde sur Dropt;Gironde sur Dropt;hot;0.004
33;Réseau de chaleur de Saint-Pierre d'Aurillac;Saint-Pierre d'Aurillac;hot;0.03
